Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Maria,Johansson,Fabriksgatan 18,Kristianstad,23286,Sverige,SE,19990817-5552,+46,+46 (0)8 796 147 04,1999-08-17,True
Edvin,Johansson,Genvägen 6,Varberg,58316,Sverige,SE,19760914-9550,+46,037-73 23 45,1976-09-14,True
Fredrik,Martinsen,Jenssengjerdet 25,Thorsen,5224,Norge,NO,19600703-7697,+47,44 63 26 87,1960-07-03,True
Unni,Danielsen,Hagenkroken 2,Grethestrand,0442,Norge,NO,19640814-7541,+47,41724661,1964-08-14,True
Ellen,Jakobsen,Haugenhavna 5F,Johnsen,9153,Norge,NO,19780603-8051,+47,402 91 477,1978-06-03,True
Alexander,Nyström,Industrivägen 1,Växjö,53278,Sverige,SE,19500330-6296,+46,08-83 62 64,1950-03-30,True
Gudrun,Petersson,Parkstigen 6,Karlskrona,50256,Sverige,SE,19541211-6850,+46,+46 (0)054 791 96,1954-12-11,True
Wilhelm,Karlsson,Industritorget 234,Lidingö,11394,Sverige,SE,19440901-7804,+46,08-175 256 06,1944-09-01,True
Carina,Gustafsson,Parkgatan 68,Västerås,94990,Sverige,SE,19780727-2319,+46,+46 (0)046 587 96,1978-07-27,True
Alexander,Lund,Kristensenmyra 21B,Johansen,9582,Norge,NO,19941213-8460,+47,93817475,1994-12-13,True
Danielle,Pollard,Gentry Trail 94358,Port Joshuaville,45248,Danmark,DK,19530510-2401,+45,744-883-4525x61498,1953-05-10,True
Luis,Fischer,Lisa Mill 431,Port Tylerchester,43917,Danmark,DK,19890817-5822,+45,+1-798-423-1659x46872,1989-08-17,True
Phillip,Rios,Stevens Neck 2262,South David,77454,Danmark,DK,19680229-9501,+45,855-363-9868x204,1968-02-29,True
Jon,Danielsen,Bøeringen 10,Dahl,2337,Norge,NO,19470921-3832,+47,12864002,1947-09-21,True
Antti,Koivula,Runonlaulajanbulevardi 373,Kinnula,94927,Finland,FI,19991109-1279,+358,+358 760089357,1999-11-09,True
Egil,Evensen,Christensenroa 11,Mathisen,0141,Norge,NO,19600420-9520,+47,949 76 799,1960-04-20,True
Linda,Moe,Evensenberget 5,Myklebust,1067,Norge,NO,19570811-6058,+47,+47 17 28 51 41,1957-08-11,True
Nils,Simonsen,Sætherlyngen 8B,Olavnes,5684,Norge,NO,19530311-6706,+47,+47 83 07 47 09,1953-03-11,True
Tiffany,Gay,Jennifer Highway 260,Brandonmouth,46132,Danmark,DK,19700613-8053,+45,001-540-947-9178x255,1970-06-13,True
Morgan,Andersson,Skoltorget 396,Motala,69761,Sverige,SE,19420921-5229,+46,025-36 36 91,1942-09-21,True
Daniel,Jenssen,Jensenskrenten 8A,Martinsen,8439,Norge,NO,19670225-6360,+47,+47 68 56 14 62,1967-02-25,True
David,Nilsson,Genstigen 26,Motala,15645,Sverige,SE,19700408-2548,+46,+46 (0)973 861 48,1970-04-08,True
Sven,Eriksson,Järnvägsgatan 2,Borlänge,23787,Sverige,SE,19540804-2993,+46,0864-66 72 65,1954-08-04,True
Jan,Aasen,Jørgensenvika 789,Mathiashelle,2861,Norge,NO,19610601-3437,+47,93172089,1961-06-01,True
Vegard,Sørensen,Auneholtet 99,Knudsen,6109,Norge,NO,19890426-0571,+47,426 41 837,1989-04-26,True
Thor,Eide,Aasskrenten 4B,Kristiansjøen,4173,Norge,NO,19581030-3100,+47,469 53 590,1958-10-30,True
Bruce,Knight,Cunningham Plains 923,Dianechester,41903,Danmark,DK,19410611-4334,+45,2038225955,1941-06-11,True
Sherry,Gomez,Mullen Square 410,Hansenland,30103,Danmark,DK,19791204-6705,+45,519.437.3423x282,1979-12-04,True
Saara,Voutilainen,Fallkullankuja 51,Kuhmoinen,79646,Finland,FI,19710306-850L,+358,+358 10 2391879,1971-03-06,True
Karin,Lindgren,Järnvägsvägen 509,Trelleborg,57242,Sverige,SE,19850406-4697,+46,08-061 213 93,1985-04-06,True
Maria,Lindqvist,Kvarngränd 366,Piteå,35824,Sverige,SE,19590620-1232,+46,0017-827 16,1959-06-20,True
Mona,Eriksen,Brekkeskogen 711,Jacobsen,1242,Norge,NO,19580914-8785,+47,47792000,1958-09-14,True
Stefan,Magnusson,Åkervägen 148,Göteborg,16889,Sverige,SE,19660618-3958,+46,099-788 74 04,1966-06-18,True
Robert,Fitzgerald,Tammy Pine 88110,Christophertown,46080,Danmark,DK,19950413-2241,+45,4818175597,1995-04-13,True
Erik,Andersson,Kyrkovägen 4,Borlänge,59940,Sverige,SE,19870416-2596,+46,+46 (0)8 918 679 35,1987-04-16,True
Monica,Knutsen,Dahlhaugen 6,Eivindsund,4239,Norge,NO,19971210-3431,+47,902 41 520,1997-12-10,True
Birgitta,Alm,Kyrkostigen 4,Örebro,46184,Sverige,SE,19930327-0343,+46,099-554 21 78,1993-03-27,True
Christoffer,Karlsson,Kvarnstigen 504,Sundsvall,33009,Sverige,SE,19460302-4031,+46,015-128 62 47,1946-03-02,True
Krista,Virtanen,Niittylänkuja 9,Värdö,85683,Finland,FI,19891009-052U,+358,+358 83 1270849,1989-10-09,True
Sofia,Andersson,Aspgränd 93,Eskilstuna,95391,Sverige,SE,19890712-5357,+46,+46 (0)111 204 95,1989-07-12,True
Julie,Martin,James Road 320,Lake Aprilfort,88368,Danmark,DK,19830129-7796,+45,(598)412-4137x8943,1983-01-29,True
Elisabet,Öhman,Furuvägen 52,Östersund,55705,Sverige,SE,19631224-0015,+46,+46 (0)550 775 05,1963-12-24,True
Berit,Karlsen,Jacobsenmoen 8,Danielhavn,2471,Norge,NO,19821021-3795,+47,44420545,1982-10-21,True
Margareta,Forsberg,Kyrktorget 168,Linköping,91860,Sverige,SE,19790524-1364,+46,073-66 20 34,1979-05-24,True
Martin,Moe,Gundersentjernet 395,Ellingsen,3492,Norge,NO,19430522-3043,+47,937 69 129,1943-05-22,False
Victoria,Duran,Robert Fields 83319,Mckenzieside,17632,Danmark,DK,19500101-8062,+45,277-215-0962,1950-01-01,True
Päivi,Kinnunen,Runeberginkatu 5,Pyhäntä,73991,Finland,FI,19420501-5285,+358,0967417728,1942-05-01,True
Alison,Gonzalez,Shawn Extensions 183,North Theresa,41682,Danmark,DK,19830819-3927,+45,953.738.0633x86350,1983-08-19,True
Sigrid,Thorsen,Myhrehøgda 9,Nilsen,0106,Norge,NO,19460802-3624,+47,+4795196845,1946-08-02,True
Maria,Sandberg,Aspvägen 81,Landskrona,21424,Sverige,SE,19980720-5135,+46,+46 (0)8 414 253 79,1998-07-20,False
Kristina,Svensson,Stortorget 1,Falun,50932,Sverige,SE,19960204-9789,+46,08-382 28 80,1996-02-04,True
Lennart,Johansson,Gengränd 7,Alingsås,25084,Sverige,SE,19861213-1911,+46,001-01 52 02,1986-12-13,True
Felicia,Forsberg,Strandvägen 176,Umeå,81142,Sverige,SE,19790525-2918,+46,0672-86 69 29,1979-05-25,True
Mary,Lyons,Golden Via 57796,Hudsonstad,38034,Danmark,DK,19620116-3377,+45,484.703.6239x5502,1962-01-16,True
Lars,Olsson,Björktorget 209,Lidingö,95021,Sverige,SE,19950920-9333,+46,0904-26 54 14,1995-09-20,True
Signe,Ottosson,Grangatan 450,Lund,81752,Sverige,SE,19640919-2772,+46,0416-348 58,1964-09-19,True
Hans,Carlsson,Fabrikstorget 1,Västerås,45323,Sverige,SE,19511003-1905,46,0965-473 55,1951-10-03,True
Ann,Gundersen,Auneløkka 70,Lien,4700,Norge,NO,19850602-7756,+47,+4700482587,1985-06-02,True
Karl,Svensson,Villagränd 846,Sundsvall,14687,Sverige,SE,19960108-0651,+46,0585-570 26,1996-01-08,True
Per,Iversen,Danielsenhøgda 56,Emilievåg,0600,Norge,NO,19931202-5644,+47,99109938,1993-12-02,True
Katarina,Johansson,Åkerstigen 00,Eskilstuna,52655,Sverige,SE,19910429-8996,+46,08-03 11 85,1991-04-29,True
Julie,Edvardsen,Fredriksenhaugen 34C,Nygård,6679,Norge,NO,19951130-1086,+47,51 21 76 63,1995-11-30,True
Marianne,Jonsson,Furustigen 14,Lidköping,13727,Sverige,SE,19671219-6420,+46,035-699 19 12,1967-12-19,True
Leif,Lindström,Furustigen 72,Malmö,78812,Sverige,SE,19790501-4906,+46,057-72 79 77,1979-05-01,True
Destiny,Hernandez,Christopher Summit 563,Oconnellport,67929,Danmark,DK,19520715-1719,+45,(566)726-5369x129,1952-07-15,True
Anette,Hägglund,Furutorget 75,Umeå,34077,Sverige,SE,19550512-9099,+46,08-297 66 60,1955-05-12,True
Emilie,Arnesen,Tveitgrenda 50,Moen,3839,Norge,NO,19701227-7985,+47,909 80 701,1970-12-27,True
Verner,Eriksson,Backgränd 53,Motala,94963,Finland,SE,19550203-6155,+46,0344-25 74 28,1955-02-03,True
Thea,Solheim,Abrahamseneggen 37,Birkeland,2933,Norge,NO,19670810-8199,+47,487 32 598,1967-08-10,True
Åke,Gustafsson,Industrigatan 097,Halmstad,96407,Sverige,SE,20000102-5581,+46,0515-92 21 55,2000-01-02,True
Anneli,Pakarinen,Purjetuulenkatu 31,Hollola,01355,Finland,FI,19960827-574S,+358,+358627564507,1996-08-27,True
Anders,Sandberg,Parkvägen 29,Trollhättan,90145,Sverige,SE,19971127-0313,+46,+46 (0)8 053 008 18,1997-11-27,True
Ole,Pettersen,Brekkebakken 24,Jenssen,1992,Norge,NO,19511013-9109,+47,35854848,1951-10-13,True
Cynthia,Garcia,Elizabeth Neck 7769,West Mitchell,95160,Danmark,DK,19620606-1891,+45,001-552-799-3220x619,1962-06-06,True
Sindre,Edvardsen,Sivertsenhagen 7,Moe,9986,Norge,NO,19530326-0817,+47,46458948,1953-03-26,True
Klas,Pettersson,Åkergatan 86,Gävle,25442,Sverige,SE,19800521-7631,+46,0878-61 42 26,1980-05-21,True
Lars,Bergström,Bäckvägen 20,Piteå,44839,Sverige,SE,19840504-8144,+46,08-22 52 52,1984-05-04,True
Gustav,Andersson,Björkgatan 055,Örnsköldsvik,37576,Sverige,SE,19860224-3836,+46,08-56 89 21,1986-02-24,True
Marie-Louise,Eklund,Parkstigen 176,Kristianstad,59624,Sverige,SE,19890814-0287,+46,+46 (0)982 814 88,1989-08-14,True
Sander,Haugen,Eideskogen 6,Thomassen,3252,Norge,NO,19940520-9693,47,97 71 45 31,1994-05-20,True
Tobias,Knudsen,Simonsenvika 1,Hagen,0642,Norge,NO,19820309-7760,+47,26 26 87 87,1982-03-09,True
Conny,Bergqvist,Kyrkotorget 72,Borlänge,92818,Sverige,SE,19460223-0005,+46,+46 (0)28 43 23 27,1946-02-23,True
Åke,Magnusson,Industrivägen 85,Borås,44740,Sverige,SE,19961212-1322,+46,08-482 79 81,1996-12-12,True
Gustaf,Fredriksson,Strandvägen 5,Kristianstad,40286,Sverige,SE,19910312-8905,+46,+46 (0)75 40 67 62,1991-03-12,True
John,Larsson,Bäcktorget 3,Nyköping,48731,Sverige,SE,19651010-2790,+46,+46 (0)524 159 55,1965-10-10,True
Andrea,Tangen,Gundersenstubben 88A,Marenfjell,2655,Norge,NO,19500204-2116,+47,+47 37 49 46 17,1950-02-04,True
Suzanne,Harris,Cabrera Green 753,Jamesland,44222,Danmark,DK,19500506-8344,+45,(760)270-4827,1950-05-06,True
Karl,Johansson,Åkerstigen 2,Västerås,37108,Sverige,SE,19510626-4319,+46,+46 (0)8 046 386 90,1951-06-26,True
Kristie,Hull,Justin Forest 57090,New Jennifer,94000,Danmark,DK,19740129-6150,+45,588.811.1846,1974-01-29,True
Sven,Persson,Bäckvägen 511,Borås,90435,Sverige,SE,19780824-1927,+46,08-37 64 94,1978-08-24,True
Inga,Bengtsson,Parktorget 06,Falun,99810,Sverige,SE,19860513-2511,+46,+46 (0)10 34 84 51,1986-05-13,True
Gerd,Helland,Bergevika 02A,Øysteinfjord,8069,Norge,NO,19530619-0376,+47,28066570,1953-06-19,True
Margareta,Gustafsson,Nygatan 7,Karlskrona,66845,Sverige,SE,19430308-7186,+46,+46 (0)56 39 71 99,1943-03-08,True
Kyle,Hamilton,Shelby Wall 120,East Eric,33700,Danmark,DK,19510512-3280,+45,+1-740-910-0238x75377,1951-05-12,True
Ulrika,Lindén,Parkgatan 34,Borlänge,46459,Sverige,SE,19920423-4404,+46,08-548 627 74,1992-04-23,True
Anita,Nilsson,Strandgatan 426,Sundsvall,95979,Sverige,SE,19960414-8510,+46,070-56 22 59,1996-04-14,True
Thomas,Norén,Ängsvägen 3,Eskilstuna,68977,Sverige,SE,19550728-7642,+46,08-780 611 25,1955-07-28,True
Ingrid,Eriksson,Bäckstigen 95,Stockholm,86501,Sverige,SE,19840531-4926,+46,+46 (0)206 418 71,1984-05-31,True
Daniel,Knudsen,Eliassenekra 31,Roberthavn,4313,Norge,NO,19650427-6098,+47,+47 18 57 88 01,1965-04-27,True
Göran,Olsson,Nystigen 188,Norrköping,69595,Sverige,SE,19711124-2398,+46,0862-92 43 51,1971-11-24,True
Mikaela,Lindqvist,Järnvägstorget 30,Trollhättan,48175,Sverige,SE,19760525-9118,+46,084-429 18 47,1976-05-25,True
Arnold,Eriksson,Kyrkvägen 036,Kalmar,23816,Sverige,SE,19930521-9098,+46,015-87 53 37,1993-05-21,True
Elise,Jenssen,Strandstubben 75,Anitavik,0588,Norge,NO,19770830-4748,+47,955 82 347,1977-08-30,True
Kristoffer,Persson,Villavägen 806,Jönköping,12054,Sverige,SE,19450825-6652,+46,080-963 38 13,1945-08-25,True
Elisabet,Hansson,Björkvägen 2,Luleå,87702,Sverige,SE,19451221-6143,+46,08-894 234 00,1945-12-21,True
Maria,Arvidsson,Trädgårdsvägen 198,Östersund,44849,Sverige,SE,19720613-4278,+46,+46 (0)950 965 74,1972-06-13,True
Pål,Næss,Madsenhøgda 9,Andreassen,3685,Norge,NO,19921124-8251,+47,19 07 00 17,1992-11-24,True
Charlotte,Johansson,Fabrikstorget 7,Kalmar,38569,Sverige,SE,19580912-6999,+46,08-85 48 50,1958-09-12,True
Karl,Olsson,Björkstigen 7,Gävle,11234,Sverige,SE,20000305-6857,+46,08-83 65 23,2000-03-05,True
Kjell,Kristiansen,Hansenåsen 3,Jakobsen,4872,Norge,NO,19790802-1760,+47,00117184,1979-08-02,True
Johan,Holm,Aspvägen 26,Sandviken,28777,Sverige,SE,19560228-8577,+46,062-31 84 00,1956-02-28,True
Ida,Lundgren,Åkertorget 555,Falun,25299,Sverige,SE,19421112-6019,+46,023-214 51 87,1942-11-12,True
Lennart,Samuelsson,Ringvägen 125,Helsingborg,65828,Sverige,SE,19750909-2594,+46,08-37 62 14,1975-09-09,True
Johannes,Lunde,Christensenhaugen 8C,Annehamn,7551,Norge,NO,19490403-5505,+47,29230147,1949-04-03,True
Tiffany,Mendoza,Brown Loaf 5083,Keithside,75060,Danmark,DK,19600701-4129,+45,467.762.2077,1960-07-01,True
Malin,Josefsson,Storvägen 247,Lidköping,39340,Sverige,SE,19690307-5593,+46,062-86 91 52,1969-03-07,True
Ingrid,Ivarsson,Skolstigen 60,Södertälje,11919,Sverige,SE,19960802-9586,+46,0115-09 54 15,1996-08-02,True
Olle,Jönsson,Kyrkvägen 0,Trollhättan,48979,Sverige,SE,19430421-8806,+46,014-63 80 78,1943-04-21,True
Tanya,Barker,Craig Plain 73678,Lake Joseph,36051,Danmark,DK,19770905-5037,+45,001-307-244-3666x745,1977-09-05,True
Christian,Antonsen,Jakobsenalléen 2,Noraås,9220,Norge,NO,19571211-1683,+47,95163660,1957-12-11,True
Grete,Sørensen,Nielsenflata 97,Brittstrand,6336,Norge,NO,19821004-4234,+47,99976391,1982-10-04,True
Josefine,Andersson,Idrottsgatan 2,Umeå,37919,Sverige,SE,19960118-6625,+46,+46 (0)8 863 587 64,1996-01-18,True
Kari,Haug,Paulsenstykket 9,Brittfjell,4892,Norge,NO,19821022-3405,+47,50345312,1982-10-22,True
Henrik,Fredriksson,Åkertorget 3,Sandviken,15957,Sverige,SE,19410614-1141,+46,+46 (0)13 05 03 26,1941-06-14,True
Andrea,Lund,Holmroa 1,Johannesfoss,3637,Norge,NO,19961019-3026,+47,+47 17 55 97 13,1996-10-19,True
André,Karlsson,Nygränd 6,Linköping,95470,Sverige,SE,19460106-0692,+46,08-336 91 22,1946-01-06,True
Sven,Hedlund,Björkgatan 510,Luleå,77625,Sverige,SE,19411222-3336,+46,+46 (0)8 412 674 27,1941-12-22,True
Åse,Bøe,Tangenhavna 85,Svendsen,3144,Norge,NO,19750527-8723,+47,14610705,1975-05-27,True
Jon,Aasen,Aasåsen 68,Leifstrøm,0789,Norge,NO,19800204-7907,+47,15 93 37 30,1980-02-04,True
Lennart,Engström,Bäcktorget 37,Västerås,19897,Sverige,SE,19650811-5543,+46,+46 (0)312 799 91,1965-08-11,True
Juhani,Ollikainen,Harakkamyllynpolku 461,Saarijärvi,46256,Finland,FI,19750821-242B,+358,+358 903218921,1975-08-21,True
Lena,Johansson,Åkertorget 4,Mölndal,74496,Sverige,SE,19491014-2218,+46,08-530 455 42,1949-10-14,True
Vilhelm,Andersson,Fabriksstigen 846,Piteå,66081,Sverige,SE,19610112-2300,+46,0566-90 94 18,1961-01-12,True
Sarah,Kelly,Perry Village 24671,Careyside,72237,Danmark,DK,19571124-2617,+45,(988)842-0974x698,1957-11-24,True
Martine,Hansen,Thorsenholtet 712,Svendsen,5206,Nlrge,NO,19440617-5426,+47,65 62 53 28,1944-06-17,True
Andreas,Andreassen,Jakobsenstien 06D,Vidarfjell,4930,Norge,NO,19710327-5832,+47,86 40 15 81,1971-03-27,True
Stephen,Norton,Cooper Rapid 70494,South Kevinton,49039,Danmark,DK,19880529-4856,+45,001-929-721-7555,1988-05-29,True
Dag,Andresen,Brekkestien 986,Joakimsand,2275,Norge,NO,19660424-1350,+47,985 52 710,1966-04-24,True
Philip,Callahan,Wilson Meadows 2220,Port Heatherchester,69711,Danmark,DK,19781119-8213,+45,001-786-356-3316,1978-11-19,True
Lennart,Eliasson,Grangränd 9,Borås,42914,Sverige,SE,19650202-4934,+46,065-873 24 69,1965-02-02,True
Maria,Andersson,Fabriksgatan 4,Karlstad,35574,Sverige,SE,19780609-3094,+46,002-528 84 00,1978-06-09,True
Karl,Persson,Gentorget 3,Norrköping,84575,Sverige,SE,19820222-7142,+46,094-127 83 20,1982-02-22,True
Robert,Hernandez,Ritter Flats 719,Angelashire,87007,Danmark,DK,19810516-3576,+45,331.527.6120,1981-05-16,True
Ingegerd,Aronsson,Skoltorget 53,Luleå,43687,Sverige,SE,19840806-5110,+46,+46 (0)11 48 35 62,1984-08-06,True
Eva,Melin,Stationsvägen 49,Falun,39028,Sverige,SE,19490404-6187,+46,046-034 53 15,1949-04-04,True
Markus,Kokkonen,Fallkullanpolku 542,Kirkkonummi,93012,Finland,FI,19750921-2999,+358,+358 76 8596663,1975-09-21,True
Karl,Nygren,Bäckstigen 478,Nyköping,12772,Sverige,SE,19621216-4432,+46,+46 (0)72 51 10 96,1962-12-16,True
Lilly,Holmström,Trädgårdsgränd 970,Gävle,61031,Sverige,SE,19781016-0593,+46,+46 (0)24 43 36 14,1978-10-16,True
Sabrina,Thompson,Claudia Creek 5131,Andrewfort,80426,Danmark,DK,19890711-0772,+45,313.550.7960,1989-07-11,True
Arild,Berntsen,Rønningengen 9,Maritø,1021,Norge,NO,19940416-9371,+47,76271191,1994-04-16,True
Torbjørn,Martinsen,Knudsenengen 889,Danielsen,6537,Norge,NO,19410228-6656,+47,487 38 884,1941-02-28,True
Kjell,Gustavsson,Skolvägen 5,Linköping,96456,Sverige,SE,19560927-9371,+46,08-249 64 68,1956-09-27,True
Antti,Uusitalo,Dosentinkatu 9,Kolari,67895,Finland,FI,19790227-415V,+358,055 251 3152,1979-02-27,True
Berit,Martinsson,Idrottsgränd 02,Lund,32842,Sverige,SE,19760610-0821,+46,08-78 20 21,1976-06-10,True
Eleonora,Persson,Industrivägen 8,Skövde,87983,Sverige,SE,19961220-0395,+46,08-14 79 11,1996-12-20,True
Anton,Björk,Skogsgränd 618,Sundsvall,22972,Sverige,SE,19461105-4152,+46,08-11 18 85,1946-11-05,True
Iréne,Lindberg,Skolgränd 83,Karlskrona,58498,Sverige,SE,19631231-4452,+46,08-262 508 97,1963-12-31,True
Kenneth,Stanley,Tracey Locks 66776,Stefanieland,81514,Danmark,DK,19681006-7352,+45,+1-502-524-2356,1968-10-06,True
Astrid,Jönsson,Kyrkvägen 3,Gävle,77319,Sverige,SE,19570718-8474,+46,+46 (0)8 877 644 99,1957-07-18,True
Øyvind,Evensen,Myklebustalléen 787,Andersen,9308,Norge,NO,19501015-4406,+47,24 09 46 08,1950-10-15,True
Maria,Hallberg,Industrigatan 3,Karlstad,82999,Sverige,SE,19500615-7872,+46,052-51 65 34,1950-06-15,True
Anita,Eriksson,Järnvägstorget 42,Luleå,25373,Sverige,SE,19730819-5743,+46,071-020 96 07,1973-08-19,True
Björn,Nilsson,Granstigen 7,Borås,64075,Sverige,SE,19520730-9507,+46,+46 (0)045 524 87,1952-07-30,True
Juan,Hernandez,Garcia Prairie 91649,Kelleytown,57139,Danmark,DK,19440331-8388,+45,403-338-8369x185,1944-03-31,True
Göte,Hansson,Parkgatan 625,Trollhättan,55902,Sverige,SE,19580729-0379,+46,08-540 19 24,1958-07-29,True
Torbjörn,Andersson,Skogsgatan 482,Lidingö,46313,Sverige,SE,19730513-7185,+46,+46 (0)8 202 309 56,1973-05-13,True
Matthew,Conley,Johnny Valley 346,East Juan,90343,Danmark,DK,19470718-4682,+45,392.503.8917x00710,1947-07-18,True
Carl,Nyberg,Parktorget 475,Helsingborg,53929,Sverige,SE,19850928-8664,+46,0344-42 14 25,1985-09-28,True
Anders,Andersson,Parkvägen 418,Varberg,38858,Sverige,SE,19850120-4955,+46,+46 (0)8 070 950 56,1985-01-20,True
Elisabet,Karlsson,Aspvägen 26,Karlstad,52449,Sverige,SE,19650130-9409,+46,08-880 186 30,1965-01-30,True
William,Herrera,Jake Lights 365,Davenportport,77107,Danmark,DK,19880804-5517,+45,(543)712-3943x75378,1988-08-04,True
Marianne,Gustavsson,Järnvägsvägen 2,Ängelholm,82088,Sverige,SE,19401127-1061,+46,+46 (0)8 957 826 20,1940-11-27,True
Inger,Jonsson,Kvarnstigen 0,Stockholm,52474,Sverige,SE,19570905-6787,+46,+46 (0)28 56 95 44,1957-09-05,True
Hanna,Strøm,Liegjerdet 76D,Mariebø,3756,Norge,NO,19411115-3987,+47,918 13 403,1941-11-15,True
Peter,Aho,Veropellonbulevardi 64,Laukaa,36190,Finland,FI,19840624-670F,+358,051 067 2246,1984-06-24,True
Leif,Moen,Solberglia 097,Ruthsjøen,8720,Norge,NO,19410904-3438,+47,45563716,1941-09-04,True
Matthew,Miller,Aaron Grove 07911,Lake Ryanbury,36670,Danmark,DK,19630331-2047,+45,+1-735-334-6128,1963-03-31,True
Yvonne,Nygren,Backgatan 076,Örebro,78740,Sverige,SE,19620725-6575,+46,+46 (0)77 75 00 64,1962-07-25,True
Birgitta,Samuelsson,Skolstigen 72,Jönköping,70547,Sverige,SE,19800513-4974,+46,08-46 44 79,1980-05-13,True
Ingeborg,Nyström,Stationsgränd 1,Uppsala,23236,Sverige,SE,19881231-1312,+46,0905-268 22,1988-12-31,True
Alfred,Holmberg,Nygränd 2,Göteborg,42390,Sverige,SE,19721006-9392,+46,08-610 003 77,1972-10-06,True
Emelie,Larsson,Fabriksgatan 174,Borlänge,23362,Sverige,SE,19560415-4777,+46,003-934 81 71,1956-04-15,True
Sverre,Ruud,Brekkesvingen 3,Eriksen,2399,Norge,NO,19550109-4712,+47,14724414,1955-01-09,True
Stefan,Sjöberg,Ängsgatan 2,Kristianstad,88247,Sverige,SE,19410324-7045,+46,08-429 46 53,1941-03-24,True
Sheri,Sullivan,Little Heights 72528,North Justin,35577,Danmark,DK,19930708-9917,+45,(955)910-1664x45696,1993-07-08,True
Brandi,Wells,Pratt Route 6917,West Davidborough,66657,Danmark,DK,19710506-6219,+45,(447)736-0646,1971-05-06,True
Tracy,Johnson,White Mountains 045,Allenfurt,60659,Danmark,DK,19680714-1975,+45,(954)816-5726x902,1968-07-14,True
Jukka,Laakso,Runebergintie 885,Masku,13044,Finland,FI,19460124-801A,+358,+358079291330,1946-01-24,True
David,Parsons,Brewer Ports 15930,New Kimberly,42964,Danmark,DK,19531006-2843,+45,+1-500-836-4324x9154,1953-10-06,True
Mattias,Johansson,Backstigen 46,Jönköping,78169,Sverige,SE,19510609-5803,+46,058-094 94 29,1951-06-09,True
Eva,Blomqvist,Skolgatan 51,Malmö,96603,Sverige,SE,19920716-2582,+46,005-583 64 36,1992-07-16,True
Stein,Olsen,Edvardsengata 9,Idadal,4714,Norge,NO,19600322-4504,+47,481 56 905,1960-03-22,True
Sven,Lundgren,Parkgatan 34,Trollhättan,10146,Sverige,SE,19810108-6595,+46,+46 (0)26 19 93 52,1981-01-08,True
Tuulikki,Häkkinen,Elisabeth Kochin katu 520,Toivakka,27145,Finland,FI,19560929-6331,+358,0890525840,1956-09-29,True
Göran,Nordström,Industrigränd 760,Halmstad,97887,Sverige,SE,19990419-2040,+46,08-599 860 91,1999-04-19,True
Malin,Arnesen,Lundskogen 1,Solveigodden,8773,Norge,NO,19930219-3446,+47,+47 07 57 72 74,1993-02-19,True
Gerhard,Pettersson,Kyrkogatan 2,Borlänge,70387,Sverige,SE,19660107-0881,+46,0338-738 31,1966-01-07,True
Linn,Tangen,Eliassenvollen 23B,Kristinvik,0397,Norge,NO,19580609-6643,+47,12151954,1958-06-09,True
John,Sivertsen,Edvardsenvika 7D,Magnussand,4701,Norge,NO,19550405-9159,+47,495 81 302,1955-04-05,True
Ernst,Lundkvist,Kyrkvägen 239,Skellefteå,69045,Sverige,SE,19730621-4447,+46,08-00 58 41,1973-06-21,True
Vilde,Andresen,Myklebustekra 8A,Kristensen,2827,Norge,NO,19930929-6947,+47,+4753473303,1993-09-29,True
Thomas,Larsson,Kvarnvägen 500,Alingsås,28205,Sverige,SE,19801007-9864,+46,+46 (0)8 820 936 16,1980-10-07,True
Ida,Karlsson,Aspgränd 463,Helsingborg,45678,Sverige,SE,19680612-9462,+46,+46 (0)8 980 568 44,1968-06-12,True
Maria,Bergqvist,Stortorget 9,Falun,31712,Sverige,SE,19451228-4985,+46,087-39 44 43,1945-12-28,True
Amanda,Karjalainen,Uussillantie 7,Tervola,05764,Finland,FI,19820805-005S,+358,+358223946763,1982-08-05,True
Margaret,Stone,Jennifer Lake 00960,Josephfort,78817,Danmark,DK,19880629-9010,+45,001-855-860-8195x3808,1988-06-29,True
Bente,Johansen,Brekkehøgda 96H,Johanfjord,3490,Norge,NO,19750603-3413,+47,05 56 84 08,1975-06-03,True
Antero,Virtanen,Wecksellintie 719,Merijärvi,07499,Finland,FI,19450112-8511,+358,0198831277,1945-01-12,True
Kenneth,Svendsen,Paulsenhavna 3,Hanneø,4499,Norge,NO,19880419-9573,+47,+47 81 74 71 07,1988-04-19,True
Wesley,Rios,Simmons Roads 04673,Lake Denisechester,69056,Danmark,DK,19981220-4698,+45,369-400-0523x670,1998-12-20,True
Steven,Brock,Joel Roads 285,South Christine,68682,Danmark,DK,19430508-8435,+45,+1-547-280-9721x906,1943-05-08,True
Gunnar,Karlsson,Grantorget 824,Halmstad,40944,Sverige,SE,19410110-6768,+46,0362-304 64,1941-01-10,True
Anders,Arvidsson,Stationstorget 350,Lidingö,29097,Sverige,SE,19720415-0795,+46,08-584 64 23,1972-04-15,True
Olav,Helland,Ødegårdringen 82F,Mathiasvåg,4774,Norge,NO,19530616-8384,+47,+4715023323,1953-06-16,True
Maria,Boström,Skogsgatan 549,Kalmar,50935,Sverige,SE,19530916-0363,+46,08-665 323 47,1953-09-16,True
